"","industry","major_occupation","minor_occupation","race_gender","industry_total","employ_n","year"
"105","Transportation and utilities","Sales and office occupations","Office and administrative support occupations","TOTAL",8552000,1843000,2020
"106","Transportation and utilities","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",8552000,3000,2020
"107","Transportation and utilities","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",8552000,210000,2020
"108","Transportation and utilities","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",8552000,515000,2020
"109","Transportation and utilities","Production, transportation, and material moving occupations","Production occupations","TOTAL",8552000,352000,2020
"110","Transportation and utilities","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",8552000,3917000,2020
"111","Information","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",2594000,651000,2020
"112","Information","Management, professional, and related occupations","Professional and related occupations","TOTAL",2594000,1095000,2020
"113","Information","Service occupations","Protective service occupations","TOTAL",2594000,6000,2020
"114","Information","Service occupations","Service occupations, except protective","TOTAL",2594000,38000,2020
"115","Information","Sales and office occupations","Sales and related occupations","TOTAL",2594000,2e+05,2020
"116","Information","Sales and office occupations","Office and administrative support occupations","TOTAL",2594000,329000,2020
"117","Information","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",2594000,0,2020
"118","Information","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",2594000,12000,2020
"119","Information","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",2594000,219000,2020
"120","Information","Production, transportation, and material moving occupations","Production occupations","TOTAL",2594000,23000,2020
"121","Information","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",2594000,23000,2020
"122","Financial activities","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",10646000,4729000,2020
"123","Financial activities","Management, professional, and related occupations","Professional and related occupations","TOTAL",10646000,1081000,2020
"124","Financial activities","Service occupations","Protective service occupations","TOTAL",10646000,56000,2020
"125","Financial activities","Service occupations","Service occupations, except protective","TOTAL",10646000,222000,2020
"126","Financial activities","Sales and office occupations","Sales and related occupations","TOTAL",10646000,2283000,2020
"127","Financial activities","Sales and office occupations","Office and administrative support occupations","TOTAL",10646000,1932000,2020
"128","Financial activities","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",10646000,1000,2020
"129","Financial activities","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",10646000,48000,2020
"130","Financial activities","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",10646000,164000,2020
"131","Financial activities","Production, transportation, and material moving occupations","Production occupations","TOTAL",10646000,45000,2020
"132","Financial activities","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",10646000,83000,2020
"133","Professional and business services","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",18816000,5064000,2020
"134","Professional and business services","Management, professional, and related occupations","Professional and related occupations","TOTAL",18816000,6601000,2020
"135","Professional and business services","Service occupations","Protective service occupations","TOTAL",18816000,540000,2020
"136","Professional and business services","Service occupations","Service occupations, except protective","TOTAL",18816000,2757000,2020
"137","Professional and business services","Sales and office occupations","Sales and related occupations","TOTAL",18816000,583000,2020
"138","Professional and business services","Sales and office occupations","Office and administrative support occupations","TOTAL",18816000,2006000,2020
"139","Professional and business services","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",18816000,12000,2020
"140","Professional and business services","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",18816000,153000,2020
"141","Professional and business services","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",18816000,286000,2020
"142","Professional and business services","Production, transportation, and material moving occupations","Production occupations","TOTAL",18816000,269000,2020
"143","Professional and business services","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",18816000,545000,2020
"144","Education and health services","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",34105000,3693000,2020
"145","Education and health services","Management, professional, and related occupations","Professional and related occupations","TOTAL",34105000,19540000,2020
"146","Education and health services","Service occupations","Protective service occupations","TOTAL",34105000,179000,2020
"147","Education and health services","Service occupations","Service occupations, except protective","TOTAL",34105000,6495000,2020
"148","Education and health services","Sales and office occupations","Sales and related occupations","TOTAL",34105000,138000,2020
"149","Education and health services","Sales and office occupations","Office and administrative support occupations","TOTAL",34105000,3258000,2020
"150","Education and health services","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",34105000,5000,2020
"151","Education and health services","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",34105000,83000,2020
"152","Education and health services","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",34105000,197000,2020
"153","Education and health services","Production, transportation, and material moving occupations","Production occupations","TOTAL",34105000,164000,2020
"154","Education and health services","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",34105000,352000,2020
"155","Leisure and hospitality","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",11480000,2009000,2020
"156","Leisure and hospitality","Management, professional, and related occupations","Professional and related occupations","TOTAL",11480000,795000,2020
"157","Leisure and hospitality","Service occupations","Protective service occupations","TOTAL",11480000,149000,2020
"158","Leisure and hospitality","Service occupations","Service occupations, except protective","TOTAL",11480000,6482000,2020
"159","Leisure and hospitality","Sales and office occupations","Sales and related occupations","TOTAL",11480000,860000,2020
"160","Leisure and hospitality","Sales and office occupations","Office and administrative support occupations","TOTAL",11480000,604000,2020
"161","Leisure and hospitality","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",11480000,8000,2020
"162","Leisure and hospitality","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",11480000,35000,2020
"163","Leisure and hospitality","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",11480000,92000,2020
"164","Leisure and hospitality","Production, transportation, and material moving occupations","Production occupations","TOTAL",11480000,106000,2020
"165","Leisure and hospitality","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",11480000,340000,2020
"166","Other services","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",6742000,763000,2020
"167","Other services","Management, professional, and related occupations","Professional and related occupations","TOTAL",6742000,994000,2020
"168","Other services","Service occupations","Protective service occupations","TOTAL",6742000,19000,2020
"169","Other services","Service occupations","Service occupations, except protective","TOTAL",6742000,2406000,2020
"170","Other services","Sales and office occupations","Sales and related occupations","TOTAL",6742000,348000,2020
"171","Other services","Sales and office occupations","Office and administrative support occupations","TOTAL",6742000,540000,2020
"172","Other services","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",6742000,3000,2020
"173","Other services","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",6742000,24000,2020
"174","Other services","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",6742000,987000,2020
"175","Other services","Production, transportation, and material moving occupations","Production occupations","TOTAL",6742000,380000,2020
"176","Other services","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",6742000,280000,2020
"177","Other services, except private households","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",6088000,755000,2020
"178","Other services, except private households","Management, professional, and related occupations","Professional and related occupations","TOTAL",6088000,987000,2020
"179","Other services, except private households","Service occupations","Protective service occupations","TOTAL",6088000,19000,2020
"180","Other services, except private households","Service occupations","Service occupations, except protective","TOTAL",6088000,1795000,2020
"181","Other services, except private households","Sales and office occupations","Sales and related occupations","TOTAL",6088000,348000,2020
"182","Other services, except private households","Sales and office occupations","Office and administrative support occupations","TOTAL",6088000,531000,2020
"183","Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",6088000,3000,2020
"184","Other services, except private households","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",6088000,24000,2020
"185","Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",6088000,986000,2020
"186","Other services, except private households","Production, transportation, and material moving occupations","Production occupations","TOTAL",6088000,370000,2020
"187","Other services, except private households","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",6088000,270000,2020
"188","Private households","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",654000,9000,2020
"189","Private households","Management, professional, and related occupations","Professional and related occupations","TOTAL",654000,7000,2020
"190","Private households","Service occupations","Protective service occupations","TOTAL",654000,0,2020
"191","Private households","Service occupations","Service occupations, except protective","TOTAL",654000,611000,2020
"192","Private households","Sales and office occupations","Sales and related occupations","TOTAL",654000,0,2020
"193","Private households","Sales and office occupations","Office and administrative support occupations","TOTAL",654000,8000,2020
"194","Private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",654000,0,2020
"195","Private households","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",654000,0,2020
"196","Private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",654000,0,2020
"197","Private households","Production, transportation, and material moving occupations","Production occupations","TOTAL",654000,10000,2020
"198","Private households","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",654000,10000,2020
"199","Public administration","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",7501000,1451000,2020
"200","Public administration","Management, professional, and related occupations","Professional and related occupations","TOTAL",7501000,2035000,2020
"201","Public administration","Service occupations","Protective service occupations","TOTAL",7501000,1897000,2020
"202","Public administration","Service occupations","Service occupations, except protective","TOTAL",7501000,395000,2020
"203","Public administration","Sales and office occupations","Sales and related occupations","TOTAL",7501000,39000,2020
"204","Public administration","Sales and office occupations","Office and administrative support occupations","TOTAL",7501000,1248000,2020
"205","Public administration","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",7501000,13000,2020
"206","Public administration","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",7501000,92000,2020
"207","Public administration","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",7501000,143000,2020
"208","Public administration","Production, transportation, and material moving occupations","Production occupations","TOTAL",7501000,77000,2020
"209","Public administration","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",7501000,111000,2020
"210",NA,"Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",NA,NA,2020
"211",NA,"Management, professional, and related occupations","Professional and related occupations","TOTAL",NA,NA,2020
"212",NA,"Service occupations","Protective service occupations","TOTAL",NA,NA,2020
"213",NA,"Service occupations","Service occupations, except protective","TOTAL",NA,NA,2020
"214",NA,"Sales and office occupations","Sales and related occupations","TOTAL",NA,NA,2020
"215",NA,"Sales and office occupations","Office and administrative support occupations","TOTAL",NA,NA,2020
"216",NA,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",NA,NA,2020
"217",NA,"Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",NA,NA,2020
"218",NA,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",NA,NA,2020
"219",NA,"Production, transportation, and material moving occupations","Production occupations","TOTAL",NA,NA,2020
